Tract,UVX,UVY
0,486.0,30.0
1,435.0,34.0
2,357.0,16.0
3,307.0,27.0
4,303.0,73.0
5,266.0,60.0
6,380.0,76.0
7,459.0,80.0
8,501.0,99.0
9,525.0,109.0
10,470.0,122.0
11,442.0,121.0
12,393.0,117.0
13,337.0,138.0
14,279.0,124.0
15,187.0,168.0
16,227.0,160.0
17,288.0,164.0
18,337.0,175.0
19,391.0,169.0
20,428.0,168.0
21,466.0,172.0
22,515.0,172.0
23,496.0,209.0
24,453.0,223.0
25,428.0,224.0
26,371.0,207.0
27,316.0,215.0
28,284.0,214.0
29,246.0,215.0
30,196.0,216.0
31,182.0,264.0
32,236.0,255.0
33,282.0,261.0
34,306.0,263.0
35,389.0,248.0
36,474.0,241.0
37,511.0,239.0
38,557.0,238.0
39,538.0,308.0
40,505.0,278.0
41,454.0,291.0
42,426.0,284.0
43,393.0,286.0
44,361.0,285.0
45,238.0,283.0
46,286.0,317.0
47,311.0,331.0
48,337.0,319.0
49,367.0,330.0
50,397.0,324.0
51,428.0,315.0
52,438.0,333.0
53,344.0,356.0
54,155.0,395.0
55,170.0,348.0
56,204.0,352.0
57,220.0,407.0
58,263.0,377.0
59,309.0,394.0
60,396.0,390.0
61,448.0,414.0
62,511.0,430.0
63,445.0,458.0
64,404.0,455.0
65,386.0,431.0
66,327.0,442.0
67,297.0,426.0
68,265.0,433.0
69,293.0,461.0
70,288.0,483.0
71,330.0,510.0
72,365.0,498.0
73,388.0,492.0
74,414.0,494.0
75,439.0,487.0
76,467.0,499.0
77,496.0,526.0
78,436.0,518.0
79,317.0,514.0
80,332.0,529.0
81,352.0,553.0
82,375.0,538.0
83,382.0,531.0
84,388.0,521.0
85,385.0,563.0
86,411.0,553.0
87,439.0,557.0
88,469.0,550.0
89,475.0,596.0
90,437.0,586.0
91,393.0,588.0
92,375.0,581.0
93,393.0,656.0
94,427.0,638.0
95,483.0,662.0
96,202.0,641.0
97,144.0,696.0
98,183.0,703.0
99,219.0,703.0
100,261.0,725.0
101,437.0,702.0
102,504.0,728.0
103,551.0,788.0
104,511.0,781.0
105,453.0,781.0
106,213.0,766.0
107,205.0,810.0
108,261.0,822.0
109,297.0,814.0
110,398.0,817.0
111,484.0,840.0
112,528.0,842.0
113,550.0,845.0
114,396.0,901.0
115,320.0,902.0
116,280.0,905.0
117,240.0,883.0
118,207.0,884.0
119,513.0,913.0
120,555.0,914.0
121,583.0,990.0
122,227.0,958.0
