Tract,UVX,UVY
0,-4322.0,-125.0
1,-4325.0,-125.0
2,-4329.0,-126.0
3,-4331.0,-125.0
4,-4331.0,-123.0
5,-4333.0,-124.0
6,-4327.0,-123.0
7,-4323.0,-123.0
8,-4321.0,-122.0
9,-4320.0,-121.0
10,-4323.0,-120.0
11,-4324.0,-120.0
12,-4327.0,-121.0
13,-4330.0,-120.0
14,-4333.0,-120.0
15,-4337.0,-118.0
16,-4335.0,-118.0
17,-4332.0,-118.0
18,-4330.0,-118.0
19,-4327.0,-118.0
20,-4325.0,-118.0
21,-4323.0,-118.0
22,-4321.0,-118.0
23,-4322.0,-116.0
24,-4324.0,-115.0
25,-4325.0,-115.0
26,-4328.0,-116.0
27,-4331.0,-116.0
28,-4332.0,-116.0
29,-4334.0,-116.0
30,-4337.0,-116.0
31,-4337.0,-113.0
32,-4335.0,-114.0
33,-4332.0,-113.0
34,-4331.0,-113.0
35,-4327.0,-114.0
36,-4323.0,-114.0
37,-4321.0,-114.0
38,-4318.0,-114.0
39,-4319.0,-111.0
40,-4321.0,-112.0
41,-4324.0,-112.0
42,-4325.0,-112.0
43,-4327.0,-112.0
44,-4328.0,-112.0
45,-4335.0,-112.0
46,-4332.0,-110.0
47,-4331.0,-110.0
48,-4330.0,-110.0
49,-4328.0,-110.0
50,-4327.0,-110.0
51,-4325.0,-111.0
52,-4324.0,-110.0
53,-4329.0,-108.0
54,-4339.0,-107.0
55,-4338.0,-109.0
56,-4336.0,-109.0
57,-4335.0,-106.0
58,-4333.0,-107.0
59,-4331.0,-107.0
60,-4327.0,-107.0
61,-4324.0,-106.0
62,-4321.0,-105.0
63,-4324.0,-103.0
64,-4326.0,-103.0
65,-4327.0,-105.0
66,-4330.0,-104.0
67,-4332.0,-105.0
68,-4333.0,-105.0
69,-4332.0,-103.0
70,-4332.0,-102.0
71,-4330.0,-101.0
72,-4328.0,-101.0
73,-4327.0,-102.0
74,-4326.0,-101.0
75,-4324.0,-102.0
76,-4323.0,-101.0
77,-4322.0,-100.0
78,-4325.0,-100.0
79,-4331.0,-100.0
80,-4330.0,-100.0
81,-4329.0,-98.0
82,-4328.0,-99.0
83,-4327.0,-100.0
84,-4327.0,-100.0
85,-4327.0,-98.0
86,-4326.0,-98.0
87,-4324.0,-98.0
88,-4323.0,-99.0
89,-4323.0,-96.0
90,-4324.0,-97.0
91,-4327.0,-97.0
92,-4328.0,-97.0
93,-4327.0,-93.0
94,-4325.0,-94.0
95,-4322.0,-93.0
96,-4336.0,-94.0
97,-4339.0,-91.0
98,-4337.0,-91.0
99,-4336.0,-91.0
100,-4333.0,-90.0
101,-4324.0,-91.0
102,-4321.0,-90.0
103,-4319.0,-87.0
104,-4321.0,-87.0
105,-4324.0,-87.0
106,-4336.0,-88.0
107,-4336.0,-85.0
108,-4333.0,-85.0
109,-4332.0,-85.0
110,-4326.0,-85.0
111,-4322.0,-84.0
112,-4320.0,-84.0
113,-4319.0,-84.0
114,-4327.0,-81.0
115,-4330.0,-81.0
116,-4332.0,-81.0
117,-4334.0,-82.0
118,-4336.0,-82.0
119,-4321.0,-80.0
120,-4318.0,-80.0
121,-4317.0,-76.0
122,-4335.0,-78.0
